"","location","k_rate_kgha","meank_pct","sd","n","se"
"1","macon",0,1.0065,0.175196080625871,4,0.0875980403129355
"2","macon",56,0.8505,0.156054477667256,4,0.0780272388336278
"3","macon",112,1.425,0.237416652041652,4,0.118708326020826
"4","macon",168,1.356,0.241285446446044,4,0.120642723223022
"5","midville",0,1.2125,0.0788986691902976,4,0.0394493345951488
"6","midville",56,1.38,0.148772757362809,4,0.0743863786814047
"7","midville",112,1.57,0.292460823587251,4,0.146230411793626
"8","midville",168,1.62,0.216487105081727,4,0.108243552540863
"9","tifton",0,2.7125,0.075,4,0.0375
"10","tifton",56,2.765,0.242830530754818,4,0.121415265377409
"11","tifton",112,2.935,0.170782512765993,4,0.0853912563829966
"12","tifton",168,2.8875,0.109962114688045,4,0.0549810573440223
"13","watkinsville",0,3.1425,0.181360598440418,4,0.0906802992202092
"14","watkinsville",56,3.245,0.100829889748361,4,0.0504149448741806
"15","watkinsville",112,3.085,0.0932737905308881,4,0.046636895265444
"16","watkinsville",168,3.115,0.105987420637231,4,0.0529937103186155
